GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High,date
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2019,2019,2019,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,0.155643093,0.2 [0.1-0.3],0.087487899,0.262841302,2019-01-01
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1990,1990,1990,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,15.313515573,15.3 [11.9-19.5],11.93129461,19.518607927,1990-01-01
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1962,1962,1962,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,5037.0,5037 [4303-5900],4303.0,5900.0,1962-01-01
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adult-mortality-rate-%28probability-of-dying-between-15-and-60-years-per-1000-population%29,2009,2009,2009,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,81.98738552,82,,,2009-01-01
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2014,2014,2014,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,4.333025393,4.3 [3.4-5.5],3.374866795,5.525211026,2014-01-01
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,16.1,16.1 [8.0-25.2],8.0,25.2,2013-01-01
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2007,2007,2007,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,86.834,87 [43-140],43.0,140.0,2007-01-01
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,2009,2009,2009,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,1.434243928,1.4 [1.1-1.8],1.116967593,1.829111815,2009-01-01
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1964,1964,1964,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,66.198288372,66.2 [56.5-78.3],56.483229746,78.346036249,1964-01-01
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-stunting-prevalence,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,16.1,16.1 [14.3-18.0],14.3,18.0,2004-01-01
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2002,2002,2002,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,3.821307496,3.8 [3.0-4.9],2.975976786,4.873368155,2002-01-01
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1985,1985,1985,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,4700.0,4700 [4199-5265],4199.0,5265.0,1985-01-01
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,22.1,22.1 [11.0-35.7],11.0,35.7,2007-01-01
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1974,1974,1974,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,51.188043639,51.2 [43.0-60.5],42.984314575,60.503314716,1974-01-01
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2001,2001,2001,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,106.0,106 [56.5-160],56.5,160.0,2001-01-01
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS0-23,0 to 23 months,6.7,6.7 [4.7-9.6],4.7,9.6,2021-01-01
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS0-11,0 to 11 months,4.2,4.2 [1.5-10.8],1.5,10.8,2021-01-01
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2014,2014,2014,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,30.3,30.3 [11.1-63.5],11.1,63.5,2014-01-01
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS0-23,0 to 23 months,0.9,0.9 [0.3-2.7],0.3,2.7,2021-01-01
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2001,2001,2001,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,1.94,1.94 [0.24-7.3],0.24,7.3,2001-01-01
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS24-35,24 to 35 months,4.1,4.1,,,2004-01-01
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS36-41,36 to 41 months,4.5,4.5 [2.8-7.2],2.8,7.2,2021-01-01
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2005,2005,2005,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,23.0,23.0 [11.8-36.7],11.8,36.7,2005-01-01
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1986,1986,1986,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,37.779288956,37.8 [33.7-42.3],33.709976098,42.325912038,1986-01-01
NUTWASTINGNUM,"Wasted numbers among children under 5 years of age (millions), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-wasting-numbers-in-millions,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,,,,29.65,29.7,,,2004-01-01
WHS3_56,Neonatal tetanus - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-tetanus---number-of-reported-cases,1994,1994,1994,EMR,Eastern Mediterranean,LBN,Lebanon,,,,3.0,3,,,1994-01-01
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS36-41,36 to 41 months,3.3,3.3 [1.5-7.1],1.5,7.1,2021-01-01
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS42-47,42 to 47 months,0.0,0.0 [0.0-0.0],0.0,0.0,2021-01-01
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2006,2006,2006,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,22.5,22.5 [11.4-36.0],11.4,36.0,2006-01-01
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,16.2,16.2 [8.6-25.0],8.6,25.0,2004-01-01
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-attributed-to-unintentional-poisoning-%28per-100-000-population%29,2012,2012,2012,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,0.166198744,0.2 [0.1-0.3],0.089955423,0.280454425,2012-01-01
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,1987,1987,1987,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,2359.0,2359 [2079-2685],2079.0,2685.0,1987-01-01
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_YEARSALL,Total (All ages),16.5,16.5,,,2004-01-01
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-stunting-prevalence,2005,2005,2005,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,15.9,15.9 [14.0-17.9],14.0,17.9,2005-01-01
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,AGEGROUP,AGEGROUP_MONTHS24-29,24 to 29 months,11.7,11.7 [7.5-17.8],7.5,17.8,2021-01-01
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1994,1994,1994,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,2455.0,2455 [2159-2780],2159.0,2780.0,1994-01-01
